Boxing, Sat 7:00pm MST, George Kambosos Jr, -360, Maxi Hughes, +260
Boxing, Tue 5:00am MST, Naoya Inoue, -400, Stephen Fulton, +280
Boxing, Tue 3:30am MST, Robeisy Ramirez, -3000, Satoshi Shimizu, +1340
Boxing, Jul 29, 4:00pm MST, Isaac Cruz, -850, Giovanni Cabrera, +510
Boxing, Sat 6:00pm MST, Keyshawn Davis, -3500, Francesco Patera, +1420
Boxing, Jul 29, 9:00pm MST, Errol Spence Jr, +116, Terence Crawford, -146
Boxing, Aug 5, 8:00pm MST, Jake Paul, -340, Nate Diaz, +240
Boxing, Aug 12, 2:00pm MST, Anthony Joshua, -700, Dillian Whyte, +440
Boxing, Aug 12, 8:00pm MST, Emanuel Navarrete, +148, Oscar Valdez, -190
Boxing, Aug 19, 7:00pm MST, Artur Beterbiev, -360, Callum Smith, +250
Boxing, Aug 26, 2:00pm MST, Oleksandr Usyk, -1600, Daniel Dubois, +840
Boxing, Sep 30, 9:00pm MST, Saul Alvarez, -300, Jermell Charlo, +215
Boxing, Sep 23, 2:00pm MST, Zhilei Zhang, -140, Joe Joyce, +110
Boxing, Dec 30, 5:00pm MST, Joshua Buatsi, -480, Dan Azeez, +330
Boxing, Nov 25, 3:00pm MST, Chantelle Cameron, -164, Katie Taylor, +128
