PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Earl Clark, 25.5, Pts+Rebs+Asts
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Rashard Lewis, 24.5, Pts+Rebs+Asts
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Isaiah Briscoe, 23.5, Pts+Rebs+Asts
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Reggie Evans, 22.5, Pts+Rebs+Asts
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Kevin Murphy, 23.5, Pts+Rebs+Asts
PrizePicks, BIG3, Sat, Jul 15 4:30 PM, Joe Johnson, 31.5, Pts+Rebs+Asts
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Earl Clark, 15.5, Points
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Rashard Lewis, 14.5, Points
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Isaiah Briscoe, 16.5, Points
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Reggie Evans, 10.5, Points
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Kevin Murphy, 16.5, Points
PrizePicks, BIG3, Sat, Jul 15 4:30 PM, Joe Johnson, 19.5, Points
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Earl Clark, 7.0, Rebounds
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Rashard Lewis, 8.5, Rebounds
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Isaiah Briscoe, 4.5, Rebounds
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Reggie Evans, 10.0, Rebounds
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Kevin Murphy, 4.0, Rebounds
PrizePicks, BIG3, Sat, Jul 15 4:30 PM, Joe Johnson, 8.0, Rebounds
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Isaiah Briscoe, 2.5, 3-PT Made
PrizePicks, BIG3, Sat, Jul 15 3:00 PM, Kevin Murphy, 2.0, 3-PT Made
PrizePicks, BIG3, Sat, Jul 15 4:30 PM, Joe Johnson, 2.5, 3-PT Made
