PrizePicks, F1, Sun, Jul 23 9:00 AM, Oscar Piastri, 2.8, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Lando Norris, 2.7, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Max Verstappen, 2.35, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Sergio Perez, 2.35, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Charles Leclerc, 2.5, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Carlos Sainz Jr., 2.65, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Logan Sargeant, 2.9, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Alexander Albon, 3.0, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Daniel Ricciardo, 2.9, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Yuki Tsunoda, 2.9, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Pierre Gasly, 2.65, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Esteban Ocon, 2.65, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Lewis Hamilton, 2.8, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, George Russell, 2.8, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Fernando Alonso, 2.7, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Lance Stroll, 2.75, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Valtteri Bottas, 3.05, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Zhou Guanyu, 3.35, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Nico Hulkenberg, 3.2, 1st Pit Stop Time (sec)
PrizePicks, F1, Sun, Jul 23 9:00 AM, Kevin Magnussen, 3.1, 1st Pit Stop Time (sec)
PrizePicks, F1, Sat, Jul 22 10:00 AM, Carlos Sainz Jr., 4.0, Starting Position
PrizePicks, F1, Sat, Jul 22 10:00 AM, Lewis Hamilton, 5.0, Starting Position
PrizePicks, F1, Sat, Jul 22 10:00 AM, George Russell, 6.5, Starting Position
PrizePicks, F1, Sat, Jul 22 10:00 AM, Lance Stroll, 9.5, Starting Position
PrizePicks, F1, Sat, Jul 22 10:00 AM, Esteban Ocon, 9.5, Starting Position
PrizePicks, F1, Sat, Jul 22 10:00 AM, Pierre Gasly, 10.5, Starting Position
PrizePicks, F1, Sat, Jul 22 10:00 AM, Alexander Albon, 12.0, Starting Position
