PrizePicks, VAL, Thu, Jul 20 4:00 AM, Laz, 30.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, Dep, 34.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, SugarZ3ro, 32.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, ten, 29.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, Xffero, 29.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, fl1pzjder, 26.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, Lmemore, 30.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 4:00 AM, EJAY, 32.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, DubsteP, 30.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, BORKUM, 27.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, invy, 31.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, Jremy, 30.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, GodDead, 25.0, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, Meteor, 34.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, k1Ng, 31.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 7:00 AM, TS, 26.5, MAPS 1-2 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, Laz, 15.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, Dep, 17.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, SugarZ3ro, 16.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, ten, 14.5, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, Xffero, 14.5, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, fl1pzjder, 13.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, Lmemore, 15.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 6:00 AM, EJAY, 16.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, DubsteP, 15.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, BORKUM, 13.5, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, invy, 15.5, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, Jremy, 15.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, GodDead, 12.5, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, Meteor, 17.0, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, k1Ng, 15.5, MAP 3 Kills
PrizePicks, VAL, Thu, Jul 20 9:00 AM, TS, 13.5, MAP 3 Kills
