PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Chase Elliott, 39.0, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, John Hunter Nemechek, 37.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Justin Allgaier, 36.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Cole Custer, 35.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Josh Berry, 34.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Daniel Suarez, 33.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Austin Hill, 33.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Chandler Smith, 32.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Sammy Smith, 31.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Sam Mayer, 31.5, NASCAR Points
PrizePicks, XFINITY, Sat, Jul 22 5:30 PM, Sheldon Creed, 30.5, NASCAR Points
