Underdog Fantasy, Justin Thomas, 70.0 Strokes 3.5 Birdies or Better
Underdog Fantasy, Matt Fitzpatrick, 69.0 Strokes 4.0 Birdies or Better
Underdog Fantasy, Patrick Cantlay, 68.5 Strokes 4.0 Birdies or Better
Underdog Fantasy, Rory McIlroy, 68.0 Strokes 4.5 Birdies or Better
Underdog Fantasy, Xander Schauffele, 68.0 Strokes 4.0 Birdies or Better
Underdog Fantasy, Sam Burns, 70.0 Strokes 3.5 Birdies or Better
Underdog Fantasy, Tommy Fleetwood, 69.0 Strokes 4.0 Birdies or Better
Underdog Fantasy, Min Woo Lee, 69.5 Strokes 4.0 Birdies or Better
Underdog Fantasy, Jordan Spieth, 69.5 Strokes 4.0 Birdies or Better
Underdog Fantasy, Scottie Scheffler, 68.0 Strokes 4.5 Birdies or Better
Underdog Fantasy, Adam Scott, 69.5 Strokes 3.5 Birdies or Better
Underdog Fantasy, Sungjae Im, 69.5 Strokes 4.0 Birdies or Better
Underdog Fantasy, Tom Kim, 70.0 Strokes 3.5 Birdies or Better
Underdog Fantasy, Justin Rose, 70.0 Strokes 4.0 Birdies or Better
Underdog Fantasy, Max Homa, 69.0 Strokes 4.0 Birdies or Better
Underdog Fantasy, Wyndham Clark, 69.5 Strokes 3.5 Birdies or Better
Underdog Fantasy, Corey Conners, 69.5 Strokes 3.5 Birdies or Better
Underdog Fantasy, Viktor Hovland, 68.5 Strokes 4.0 Birdies or Better
Underdog Fantasy, Shane Lowry, 69.5 Strokes 3.5 Birdies or Better
Underdog Fantasy, Tyrrell Hatton, 68.5 Strokes 4.0 Birdies or Better
Underdog Fantasy, Rickie Fowler, 68.5 Strokes 4.0 Birdies or Better
